	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
6327	29117	163	bncqlb	en4yhyg	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	spiderman homecoming- peter parker goes to his high school dance for 2 hours and in the final act gets picked up by aunt may and in bed for 10
6328	29117	228	bncqlb	en4kzir	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the adjustment bureau. bunch of guys who go around making sure pictures are hanging exactly straight and parallel to the floor.
6329	29117	223	bncqlb	en4htgj	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	transpotting
6330	29117	570	bncqlb	en4g91b	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	end game : just some credits from a game
6331	29117	323	bncqlb	en4hlz3	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	frozen water boy babys day out
6332	29117	147	bncqlb	en4ery2	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	rocky
6333	29117	73	bncqlb	en4kh4r	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	office space
6334	29117	142	bncqlb	en4k8bh	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the ring
6335	29117	984	bncqlb	en4flip	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	mission impossible
6336	29117	63	bncqlb	en544zn	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	die hard. the guy died with an erection
6337	29117	190	bncqlb	en4f1sw	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	my dinner with andre.
6338	29117	127	bncqlb	en4g95a	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	baywatch
6339	29117	60	bncqlb	en51z43	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	age of ultron. couple seconds of ultron telling you how old he is. roll credits.
6340	29117	227	bncqlb	en4k3cq	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the land before time
6341	29117	59	bncqlb	en4otp3	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	fargo
6342	29117	208	bncqlb	en4j3mi	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the mist
6343	29117	107	bncqlb	en4n62k	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	gorillas in the mist. a group of gorillas, seen only as vague silhouettes due to the prevailing weather conditions. just sitting there.
6344	29117	104	bncqlb	en4mkxe	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	airplane
6345	29117	51	bncqlb	en4wpll	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	don't breathe. it would just be a 2 minute video of people dying because they can't breathe.
6346	29117	145	bncqlb	en4mkxl	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	it wouldnt necessarily be boring, but octopussy would be a very different, much grosser film.
6347	29117	91	bncqlb	en4oq43	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the 40 year old virgin
6348	29117	210	bncqlb	en4hw21	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	ant man. so what do we have now, a man hauling your leftover taco and bumping each other for almost *two hours?* if you find it enjoyable, go on.
6349	29117	112	bncqlb	en4k7qu	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	nightmare on elm street: a movie of a child having a nightmare but waking up 100% fine and unharmed
6350	29117	176	bncqlb	en4kg2s	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	12 years a slave just a 12 year long movie of brutal farm work.
6351	29117	73	bncqlb	en4rm6d	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	home alone &#x200b; i picture a thirteen year old boy going ham in his bedroom at 3 am.
6352	29117	39	bncqlb	en4twhm	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	john wick, &#x200b; is a candlemaker in italy, it is hard work but it is, his work.
6353	29117	221	bncqlb	en4jtqv	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	**endgame** last two hours of the epic chess world champions final of 1985. edit: i, umm, miss read the question and thought it meant most awesome. ;)
6354	29117	97	bncqlb	en4kur5	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	reservoir dogs and sliding doors come to mind. other contenders: * the day after tomorrow * the road to perdition * layer cake * the matrix * phonebooth
6355	29117	163	bncqlb	en4kl1o	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	black panther the entire movie is just watching a black panther wait to catch its prey
6356	29117	116	bncqlb	en4hdh7	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	no country for old men.
6357	29117	112	bncqlb	en4ksgc	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	ocean's eight.just pictures of some eight random oceans
6358	29117	32	bncqlb	en4scn1	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	taxi driver
6359	29117	34	bncqlb	en4sy05	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	scream; just a person standing in a frame, screaming for and hour and a half.
6360	29117	261	bncqlb	en4ks3y	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	cars it would just be a documentary on the history of cars
6361	29117	79	bncqlb	en4f8d5	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	boyhood.come to think of it, the change wouldn't be noticeable
6362	29117	26	bncqlb	en4lp8o	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	gone with the wind. just another breezy day in atlanta during the civil war.
6363	29117	27	bncqlb	en4o19z	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	twilight.
6364	29117	25	bncqlb	en4x318	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	20,000 leagues under the sea even if they used lights, there's still not much to see down there most of the time.
6365	29117	26	bncqlb	en4xuc3	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the hangover
6366	29117	27	bncqlb	en4xvvw	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	gravity
6367	29117	26	bncqlb	en4mnhc	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	saw. it would just be a picture of a saw for 2 hours. also a quiet place.
6368	29117	21	bncqlb	en4kecj	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	rear window.
6369	29117	22	bncqlb	en4ok3m	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	fried green tomatoes they're fried tomatoes
6370	29117	21	bncqlb	en50iln	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	traffic.
6371	29117	90	bncqlb	en4nqwn	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	a bugs life
6372	29117	20	bncqlb	en4ng2t	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	star wars the phantom menace. turns out there was really no threat and everything just keeps on humming along.
6373	29117	18	bncqlb	en4sl63	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the cat in the hat
6374	29117	19	bncqlb	en4whze	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	day of the dead two hours of staring at dead bodies in the sunlight.
6375	29117	18	bncqlb	en504k3	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	pride and prejudice. just a buncha of racists
6376	29117	19	bncqlb	en527tj	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the fly. it's literally just a fly. that's it. edit: formatting.
6377	29117	36	bncqlb	en4yy7u	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the shape of water. it would begin with an explanation of the shape of water molecules and then show people pouring water into variously-shaped containers to show how liquids take on the shape of their containers.
6378	29117	19	bncqlb	en55nq6	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	ready player one: two guys playing spiltscreen game and player one is ready and waiting for player two for 2 hours
6379	29117	38	bncqlb	en4j34r	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	everybodys fine.
6380	29117	18	bncqlb	en4jkfg	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	captain america - an irs tax worker saving people from the evils of unpaid taxes
6381	29117	14	bncqlb	en4t2u7	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	breakfast club
6382	29117	17	bncqlb	en524vs	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	matrix, if you don't like boring mathematical stuff
6383	29117	17	bncqlb	en5ayys	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	taken - a man knocks on a toilet door, but it's no free. so he tries another door. and that's taken 2
6384	29117	17	bncqlb	en4rg57	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	now you see me and now you see me 2 it would just be a guy walking around new york letting people know that they in fact can see him
6385	29117	15	bncqlb	en563bz	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	minority report a government meeting where they present statistics about minorites.
6386	29117	14	bncqlb	en57g7x	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the room yep there it is. a floor, 4 walls, plus a ceiling. oh hi doggie.
6387	29117	15	bncqlb	en5awfq	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the thing. two hours of a guy not being able to find the word he is looking for
6388	29117	12	bncqlb	en4uo0o	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	grown ups.
6389	29117	14	bncqlb	en4zy4x	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	iron man, it's just an iron statue of a man. you stare at it for 123 minutes, and nothing happens. maybe it rusts a little.
6390	29117	28	bncqlb	en4iso6	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	powder
6391	29117	14	bncqlb	en4s2jt	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	skyscraper.
6392	29117	12	bncqlb	en4z8ii	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	thor: the dark world thor just sits in a dark void the whole movie
6393	29117	13	bncqlb	en53p3o	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the color purple
6394	29117	35	bncqlb	en4lgxf	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	tangled - a girl brushing her hair
6395	29117	11	bncqlb	en58agy	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	tombstone
6396	29117	23	bncqlb	en4m7gd	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	gone in 60 seconds over in a minute!
6397	29117	22	bncqlb	en4z6br	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	"mission impossible ""welp, can't do it guys. pack it in."""
6398	29117	11	bncqlb	en5043b	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the shining its just a super bright light the whole time
6399	29117	19	bncqlb	en4m0pi	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	sleepers
6400	29117	12	bncqlb	en4yncr	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the flash, because it would be a 3 second movie of a phone flash
6401	29117	11	bncqlb	en4yzjm	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the men who stare at goats. 01:45:00 of a dude staring at a goat, without blinking. shit is intense
